Identifier	Task start	Duration
ID205	2017.03.04 11:10	40
ID206	2017.03.04 10:25	120
ID207	2017.03.04 10:25	120
ID208	2017.03.04 10:25	120
ID209	2017.03.04 11:00	120
ID210	2017.03.04 11:00	120
ID211	2017.03.04 11:00	120
ID212	2017.03.04 11:40	120
ID213	2017.03.04 11:40	120
ID214	2017.03.04 13:00	40
ID215	2017.03.04 12:30	120
ID216	2017.03.04 12:30	120
ID217	2017.03.04 13:50	40
ID218	2017.03.04 12:35	120
ID219	2017.03.04 12:35	120
ID220	2017.03.04 12:35	120
ID221	2017.03.04 14:25	120
ID222	2017.03.04 14:25	120
ID223	2017.03.04 14:25	120
ID224	2017.03.04 15:05	120
ID225	2017.03.04 15:05	120
ID226	2017.03.04 15:05	120
ID227	2017.03.04 15:35	120
ID228	2017.03.04 15:35	120
ID229	2017.03.04 15:40	120
ID230	2017.03.04 16:10	120
ID231	2017.03.04 16:10	120
ID232	2017.03.04 16:10	120
ID233	2017.03.04 17:00	120
ID234	2017.03.04 17:00	120
ID235	2017.03.04 18:20	40
ID236	2017.03.04 17:45	120
ID237	2017.03.04 17:45	120
ID238	2017.03.04 17:45	120
ID239	2017.03.05 03:10	120
ID240	2017.03.05 03:10	120
ID241	2017.03.05 03:10	120
ID242	2017.03.05 04:00	120
ID243	2017.03.05 04:00	120
ID244	2017.03.05 04:00	120
ID245	2017.03.05 04:10	120
ID246	2017.03.05 04:10	120
ID247	2017.03.05 04:25	120
ID248	2017.03.05 04:25	120
ID249	2017.03.05 05:00	120
ID250	2017.03.05 05:00	120
ID251	2017.03.05 05:00	120
ID252	2017.03.05 05:10	120
ID253	2017.03.05 05:10	120
ID254	2017.03.05 05:10	120
ID255	2017.03.05 05:15	120
ID256	2017.03.05 05:15	120
ID257	2017.03.05 05:15	120
ID258	2017.03.05 06:25	120
ID259	2017.03.05 06:25	120
ID260	2017.03.05 08:35	120
ID261	2017.03.05 08:35	120
ID262	2017.03.05 08:35	120
ID263	2017.03.05 08:55	120
ID264	2017.03.05 08:55	120
ID265	2017.03.05 10:15	40
ID266	2017.03.05 11:40	120
ID267	2017.03.05 11:40	120
ID268	2017.03.05 13:00	40
ID269	2017.03.05 12:20	120
ID270	2017.03.05 12:20	120
ID271	2017.03.05 13:40	40
ID272	2017.03.05 14:25	120
ID273	2017.03.05 14:25	120
ID274	2017.03.05 15:05	120
ID275	2017.03.05 15:05	120
ID276	2017.03.05 15:05	120
ID277	2017.03.05 15:05	120
ID278	2017.03.05 15:05	120
ID279	2017.03.05 15:05	120
ID280	2017.03.05 16:10	120
ID281	2017.03.05 16:10	120
ID282	2017.03.05 16:30	120
ID283	2017.03.05 16:30	120
ID284	2017.03.05 16:30	120
ID285	2017.03.05 16:30	120
ID286	2017.03.05 16:30	120
ID287	2017.03.05 16:30	120
ID288	2017.03.05 16:55	120
ID289	2017.03.05 16:55	120
ID290	2017.03.05 16:55	120
ID291	2017.03.05 17:00	120
ID292	2017.03.05 17:00	120
ID293	2017.03.05 18:20	40
ID294	2017.03.05 17:45	120
ID295	2017.03.05 17:45	120
ID296	2017.03.05 17:45	120
ID297	2017.03.06 03:10	120
ID298	2017.03.06 03:10	120
ID299	2017.03.06 03:10	120
ID300	2017.03.06 04:00	120
ID301	2017.03.06 04:00	120
ID302	2017.03.06 04:00	120
ID303	2017.03.06 04:10	120
ID304	2017.03.06 04:10	120
ID305	2017.03.06 04:25	120
ID306	2017.03.06 04:25	120
ID307	2017.03.06 04:30	120
ID308	2017.03.06 04:30	120
ID309	2017.03.06 04:30	120
ID310	2017.03.06 05:10	120
ID311	2017.03.06 05:10	120
ID312	2017.03.06 05:10	120
ID313	2017.03.06 05:10	120
ID314	2017.03.06 05:10	120
ID315	2017.03.06 05:10	120
ID316	2017.03.06 05:15	120
ID317	2017.03.06 05:15	120
ID318	2017.03.06 05:15	120
ID319	2017.03.06 06:25	120
ID320	2017.03.06 06:25	120
ID321	2017.03.06 06:30	120
ID322	2017.03.06 06:30	120
ID323	2017.03.06 06:30	120
ID324	2017.03.06 08:35	120
ID325	2017.03.06 08:35	120
ID326	2017.03.06 08:35	120
ID327	2017.03.06 09:50	120
ID328	2017.03.06 09:50	120
ID329	2017.03.06 11:10	40
ID330	2017.03.06 10:50	120
ID331	2017.03.06 10:50	120
ID332	2017.03.06 10:50	120
ID333	2017.03.06 11:40	120
ID334	2017.03.06 11:40	120
ID335	2017.03.06 13:00	40
ID336	2017.03.06 12:25	120
ID337	2017.03.06 12:25	120
ID338	2017.03.06 13:45	40
ID339	2017.03.06 14:00	120
ID340	2017.03.06 14:00	120
ID341	2017.03.06 15:05	120
ID342	2017.03.06 15:05	120
ID343	2017.03.06 15:05	120
ID344	2017.03.06 15:40	120
ID345	2017.03.06 16:10	120
ID346	2017.03.06 16:10	120
ID347	2017.03.06 16:10	120
ID348	2017.03.06 16:15	120
ID349	2017.03.06 16:15	120
ID350	2017.03.06 16:15	120
ID351	2017.03.06 16:30	120
ID352	2017.03.06 16:30	120
ID353	2017.03.06 16:30	120
ID354	2017.03.06 17:00	120
ID355	2017.03.06 17:00	120
ID356	2017.03.06 18:20	40
ID357	2017.03.06 17:35	120
ID358	2017.03.06 17:35	120
ID359	2017.03.06 17:45	120
ID360	2017.03.06 17:45	120
ID361	2017.03.06 17:45	120
ID362	2017.03.07 03:10	120
ID363	2017.03.07 03:10	120
ID364	2017.03.07 03:10	120
ID365	2017.03.07 04:10	120
ID366	2017.03.07 04:10	120
ID367	2017.03.07 05:30	40
ID368	2017.03.07 04:20	120
ID369	2017.03.07 04:20	120
ID370	2017.03.07 05:40	40
ID371	2017.03.07 04:25	120
ID372	2017.03.07 04:25	120
ID373	2017.03.07 05:10	120
ID374	2017.03.07 05:10	120
ID375	2017.03.07 05:15	120
ID376	2017.03.07 05:15	120
ID377	2017.03.07 05:15	120
ID378	2017.03.07 05:15	120
ID379	2017.03.07 05:15	120
ID380	2017.03.07 05:15	120
ID381	2017.03.07 05:40	120
ID382	2017.03.07 05:40	120
ID383	2017.03.07 07:00	40
ID384	2017.03.07 06:25	120
ID385	2017.03.07 06:25	120
ID386	2017.03.07 06:25	120
ID387	2017.03.07 08:35	120
ID388	2017.03.07 08:35	120
ID389	2017.03.07 08:35	120
ID390	2017.03.07 09:05	120
ID391	2017.03.07 09:05	120
ID392	2017.03.07 09:05	120
ID393	2017.03.07 09:25	120
ID394	2017.03.07 09:25	120
ID395	2017.03.07 09:25	120
ID396	2017.03.07 09:50	120
ID397	2017.03.07 09:50	120
ID398	2017.03.07 11:10	40
ID399	2017.03.07 11:00	120
ID400	2017.03.07 11:00	120
ID401	2017.03.07 11:00	120
ID402	2017.03.07 11:40	120
ID403	2017.03.07 11:40	120
ID404	2017.03.07 13:00	40
ID405	2017.03.07 12:30	120
ID406	2017.03.07 12:30	120
ID407	2017.03.07 13:50	40
ID408	2017.03.07 14:00	120
ID409	2017.03.07 14:00	120
ID410	2017.03.07 14:25	120
ID411	2017.03.07 14:25	120
ID412	2017.03.07 15:35	120
ID413	2017.03.07 15:35	120
ID414	2017.03.07 15:35	120
ID415	2017.03.07 16:05	120
ID416	2017.03.07 16:05	120
ID417	2017.03.07 16:05	120
ID418	2017.03.07 16:10	120
ID419	2017.03.07 16:10	120
ID420	2017.03.07 16:10	120
ID421	2017.03.07 17:00	120
ID422	2017.03.07 17:00	120
ID423	2017.03.07 18:20	40
ID424	2017.03.07 17:35	120
ID425	2017.03.07 17:35	120
ID426	2017.03.08 03:10	120
ID427	2017.03.08 03:10	120
ID428	2017.03.08 03:10	120
ID429	2017.03.08 04:00	120
ID430	2017.03.08 04:00	120
ID431	2017.03.08 04:00	120
ID432	2017.03.08 04:10	120
ID433	2017.03.08 04:10	120
ID434	2017.03.08 04:25	120
ID435	2017.03.08 04:25	120
ID436	2017.03.08 05:00	120
ID437	2017.03.08 05:00	120
ID438	2017.03.08 05:00	120
ID439	2017.03.08 05:15	120
ID440	2017.03.08 05:15	120
ID441	2017.03.08 05:15	120
ID442	2017.03.08 06:25	120
ID443	2017.03.08 06:25	120
ID444	2017.03.08 08:35	120
ID445	2017.03.08 08:35	120
ID446	2017.03.08 08:35	120
ID447	2017.03.08 09:50	120
ID448	2017.03.08 09:50	120
ID449	2017.03.08 11:10	40
ID450	2017.03.08 11:40	120
ID451	2017.03.08 11:40	120
ID452	2017.03.08 13:00	40
ID453	2017.03.08 12:20	120
ID454	2017.03.08 12:20	120
ID455	2017.03.08 13:40	40
ID456	2017.03.08 14:00	120
ID457	2017.03.08 14:00	120
ID458	2017.03.08 15:05	120
ID459	2017.03.08 15:05	120
ID460	2017.03.08 15:05	120
ID461	2017.03.08 15:05	120
ID462	2017.03.08 15:05	120
ID463	2017.03.08 15:05	120
ID464	2017.03.08 15:40	120
ID465	2017.03.08 16:10	120
ID466	2017.03.08 16:10	120
ID467	2017.03.08 16:30	120
ID468	2017.03.08 16:30	120
ID469	2017.03.08 16:30	120
ID470	2017.03.08 16:30	120
ID471	2017.03.08 16:30	120
ID472	2017.03.08 16:30	120
ID473	2017.03.08 17:00	120
ID474	2017.03.08 17:00	120
ID475	2017.03.08 18:20	40
ID476	2017.03.08 17:35	120
ID477	2017.03.08 17:35	120
ID478	2017.03.08 17:45	120
ID479	2017.03.08 17:45	120
ID480	2017.03.08 17:45	120
ID481	2017.03.09 03:10	120
ID482	2017.03.09 03:10	120
ID483	2017.03.09 03:10	120
ID484	2017.03.09 04:10	120
ID485	2017.03.09 04:10	120
ID486	2017.03.09 04:10	120
ID487	2017.03.09 04:25	120
ID488	2017.03.09 04:25	120
ID489	2017.03.09 05:10	120
ID490	2017.03.09 05:10	120
ID491	2017.03.09 05:15	120
ID492	2017.03.09 05:15	120
ID493	2017.03.09 05:15	120
ID494	2017.03.09 05:15	120
ID495	2017.03.09 05:15	120
ID496	2017.03.09 05:15	120
ID497	2017.03.09 05:20	120
ID498	2017.03.09 05:20	120
ID499	2017.03.09 05:20	120
ID500	2017.03.09 06:25	120
ID501	2017.03.09 06:25	120
ID502	2017.03.09 06:25	120
ID503	2017.03.09 08:35	120
ID504	2017.03.09 08:35	120
ID505	2017.03.09 08:35	120
ID506	2017.03.09 09:50	120
ID507	2017.03.09 09:50	120
ID508	2017.03.09 11:10	40
ID509	2017.03.09 11:00	120
ID510	2017.03.09 11:00	120
ID511	2017.03.09 11:00	120
ID512	2017.03.09 11:40	120
ID513	2017.03.09 11:40	120
ID514	2017.03.09 13:00	40
ID515	2017.03.09 14:00	120
ID516	2017.03.09 14:00	120
ID517	2017.03.09 15:05	120
ID518	2017.03.09 15:05	120
ID519	2017.03.09 15:05	120
ID520	2017.03.09 16:05	120
ID521	2017.03.09 16:05	120
ID522	2017.03.09 16:05	120
ID523	2017.03.09 16:10	120
ID524	2017.03.09 16:10	120
ID525	2017.03.09 16:10	120
ID526	2017.03.09 17:00	120
ID527	2017.03.09 17:00	120
ID528	2017.03.09 18:20	40
ID529	2017.03.09 17:35	120
ID530	2017.03.09 17:35	120
ID531	2017.03.10 03:10	120
ID532	2017.03.10 03:10	120
ID533	2017.03.10 03:10	120
ID534	2017.03.10 04:00	120
ID535	2017.03.10 04:00	120
ID536	2017.03.10 04:00	120
ID537	2017.03.10 04:10	120
ID538	2017.03.10 04:10	120
ID539	2017.03.10 04:25	120
ID540	2017.03.10 04:25	120
ID541	2017.03.10 04:30	120
ID542	2017.03.10 04:30	120
ID543	2017.03.10 04:30	120
ID544	2017.03.10 05:10	120
ID545	2017.03.10 05:10	120
ID546	2017.03.10 05:10	120
ID547	2017.03.10 05:10	120
ID548	2017.03.10 05:10	120
ID549	2017.03.10 05:10	120
ID550	2017.03.10 06:25	120
ID551	2017.03.10 06:25	120
ID552	2017.03.10 06:30	120
ID553	2017.03.10 06:30	120
ID554	2017.03.10 06:30	120
ID555	2017.03.10 08:35	120
ID556	2017.03.10 08:35	120
ID557	2017.03.10 08:35	120
ID558	2017.03.10 09:25	120
ID559	2017.03.10 09:25	120
ID560	2017.03.10 09:25	120
ID561	2017.03.10 09:50	120
ID562	2017.03.10 09:50	120
ID563	2017.03.10 11:10	40
ID564	2017.03.10 10:50	120
ID565	2017.03.10 10:50	120
ID566	2017.03.10 10:50	120
ID567	2017.03.10 11:40	120
ID568	2017.03.10 11:40	120
ID569	2017.03.10 13:00	40
ID570	2017.03.10 12:25	120
ID571	2017.03.10 12:25	120
ID572	2017.03.10 13:45	40
ID573	2017.03.10 14:00	120
ID574	2017.03.10 14:00	120
ID575	2017.03.10 16:10	120
ID576	2017.03.10 16:10	120
ID577	2017.03.10 16:10	120
ID578	2017.03.10 16:15	120
ID579	2017.03.10 16:15	120
ID580	2017.03.10 16:15	120
ID581	2017.03.10 16:30	120
ID582	2017.03.10 16:30	120
ID583	2017.03.10 16:30	120
ID584	2017.03.10 16:55	120
ID585	2017.03.10 16:55	120
ID586	2017.03.10 16:55	120
ID587	2017.03.10 17:00	120
ID588	2017.03.10 17:00	120
ID589	2017.03.10 18:20	40
ID590	2017.03.10 17:35	120
ID591	2017.03.10 17:35	120
ID592	2017.03.10 17:40	120
ID593	2017.03.10 17:45	120
ID594	2017.03.10 17:45	120
ID595	2017.03.10 17:45	120
ID596	2017.03.11 03:10	120
ID597	2017.03.11 03:10	120
ID598	2017.03.11 03:10	120
ID599	2017.03.11 03:30	120
ID600	2017.03.11 03:30	120
ID601	2017.03.11 03:30	120
ID602	2017.03.11 04:10	120
ID603	2017.03.11 04:10	120
ID604	2017.03.11 04:10	120
ID605	2017.03.11 04:20	120
ID606	2017.03.11 04:20	120
ID607	2017.03.11 04:25	120
ID608	2017.03.11 04:25	120
ID609	2017.03.11 05:10	120
ID610	2017.03.11 05:10	120
ID611	2017.03.11 05:10	120
ID612	2017.03.11 05:15	120
ID613	2017.03.11 05:15	120
ID614	2017.03.11 05:15	120
ID615	2017.03.11 05:25	120
ID616	2017.03.11 05:25	120
ID617	2017.03.11 05:25	120
ID618	2017.03.11 05:40	120
ID619	2017.03.11 05:40	120
ID620	2017.03.11 05:40	120
ID621	2017.03.11 08:35	120
ID622	2017.03.11 08:35	120
ID623	2017.03.11 08:35	120
ID624	2017.03.11 09:05	120
ID625	2017.03.11 09:05	120
ID626	2017.03.11 09:05	120
ID627	2017.03.11 09:50	120
ID628	2017.03.11 09:50	120
ID629	2017.03.11 11:10	40
ID630	2017.03.11 10:25	120
ID631	2017.03.11 10:25	120
ID632	2017.03.11 10:25	120
ID633	2017.03.11 11:00	120
ID634	2017.03.11 11:00	120
ID635	2017.03.11 11:00	120
ID636	2017.03.11 11:40	120
ID637	2017.03.11 11:40	120
ID638	2017.03.11 13:00	40
ID639	2017.03.11 12:30	120
ID640	2017.03.11 12:30	120
ID641	2017.03.11 13:50	40
ID642	2017.03.11 12:35	120
ID643	2017.03.11 12:35	120
ID644	2017.03.11 12:35	120
ID645	2017.03.11 14:25	120
ID646	2017.03.11 14:25	120
ID647	2017.03.11 14:25	120
ID648	2017.03.11 15:05	120
ID649	2017.03.11 15:05	120
ID650	2017.03.11 15:05	120
ID651	2017.03.11 15:35	120
ID652	2017.03.11 15:35	120
ID653	2017.03.11 15:40	120
ID654	2017.03.11 16:10	120
ID655	2017.03.11 16:10	120
ID656	2017.03.11 16:10	120
ID657	2017.03.11 17:00	120
ID658	2017.03.11 17:00	120
ID659	2017.03.11 18:20	40
ID660	2017.03.11 17:45	120
ID661	2017.03.11 17:45	120
ID662	2017.03.11 17:45	120
ID663	2017.03.12 03:10	120
ID664	2017.03.12 03:10	120
ID665	2017.03.12 03:10	120
ID666	2017.03.12 04:00	120
ID667	2017.03.12 04:00	120
ID668	2017.03.12 04:00	120
ID669	2017.03.12 04:10	120
ID670	2017.03.12 04:10	120
ID671	2017.03.12 04:25	120
ID672	2017.03.12 04:25	120
ID673	2017.03.12 05:00	120
ID674	2017.03.12 05:00	120
ID675	2017.03.12 05:00	120
ID676	2017.03.12 05:10	120
ID677	2017.03.12 05:10	120
ID678	2017.03.12 05:10	120
ID679	2017.03.12 05:15	120
ID680	2017.03.12 05:15	120
ID681	2017.03.12 05:15	120
ID682	2017.03.12 06:25	120
ID683	2017.03.12 06:25	120
ID684	2017.03.12 08:35	120
ID685	2017.03.12 08:35	120
ID686	2017.03.12 08:35	120
ID687	2017.03.12 08:55	120
ID688	2017.03.12 08:55	120
ID689	2017.03.12 10:15	40
ID690	2017.03.12 11:40	120
ID691	2017.03.12 11:40	120
ID692	2017.03.12 13:00	40
ID693	2017.03.12 12:20	120
ID694	2017.03.12 12:20	120
ID695	2017.03.12 13:40	40
ID696	2017.03.12 14:25	120
ID697	2017.03.12 14:25	120
ID698	2017.03.12 15:05	120
ID699	2017.03.12 15:05	120
ID700	2017.03.12 15:05	120
ID701	2017.03.12 15:05	120
ID702	2017.03.12 15:05	120
ID703	2017.03.12 15:05	120
ID704	2017.03.12 16:10	120
ID705	2017.03.12 16:10	120
ID706	2017.03.12 16:30	120
ID707	2017.03.12 16:30	120
ID708	2017.03.12 16:30	120
ID709	2017.03.12 16:30	120
ID710	2017.03.12 16:30	120
ID711	2017.03.12 16:30	120
ID712	2017.03.12 16:55	120
ID713	2017.03.12 16:55	120
ID714	2017.03.12 16:55	120
ID715	2017.03.12 17:00	120
ID716	2017.03.12 17:00	120
ID717	2017.03.12 17:00	120
ID718	2017.03.12 17:45	120
ID719	2017.03.12 17:45	120
ID720	2017.03.12 17:45	120
ID721	2017.03.13 03:10	120
ID722	2017.03.13 03:10	120
ID723	2017.03.13 03:10	120
ID724	2017.03.13 04:00	120
ID725	2017.03.13 04:00	120
ID726	2017.03.13 04:00	120
ID727	2017.03.13 04:10	120
ID728	2017.03.13 04:10	120
ID729	2017.03.13 04:25	120
ID730	2017.03.13 04:25	120
ID731	2017.03.13 04:30	120
ID732	2017.03.13 04:30	120
ID733	2017.03.13 04:30	120
ID734	2017.03.13 05:10	120
ID735	2017.03.13 05:10	120
ID736	2017.03.13 05:10	120
ID737	2017.03.13 05:10	120
ID738	2017.03.13 05:10	120
ID739	2017.03.13 05:10	120
ID740	2017.03.13 05:15	120
ID741	2017.03.13 05:15	120
ID742	2017.03.13 05:15	120
ID743	2017.03.13 06:25	120
ID744	2017.03.13 06:25	120
ID745	2017.03.13 06:30	120
ID746	2017.03.13 06:30	120
ID747	2017.03.13 06:30	120
ID748	2017.03.13 08:35	120
ID749	2017.03.13 08:35	120
ID750	2017.03.13 08:35	120
ID751	2017.03.13 09:50	120
ID752	2017.03.13 09:50	120
ID753	2017.03.13 11:10	40
ID754	2017.03.13 10:50	120
ID755	2017.03.13 10:50	120
ID756	2017.03.13 10:50	120
ID757	2017.03.13 11:40	120
ID758	2017.03.13 11:40	120
ID759	2017.03.13 13:00	40
ID760	2017.03.13 12:25	120
ID761	2017.03.13 12:25	120
ID762	2017.03.13 13:45	40
ID763	2017.03.13 14:00	120
ID764	2017.03.13 14:00	120
ID765	2017.03.13 15:05	120
ID766	2017.03.13 15:05	120
ID767	2017.03.13 15:05	120
ID768	2017.03.13 15:40	120
ID769	2017.03.13 16:10	120
ID770	2017.03.13 16:10	120
ID771	2017.03.13 16:10	120
ID772	2017.03.13 16:15	120
ID773	2017.03.13 16:15	120
ID774	2017.03.13 16:15	120
ID775	2017.03.13 16:30	120
ID776	2017.03.13 16:30	120
ID777	2017.03.13 16:30	120
ID778	2017.03.13 17:00	120
ID779	2017.03.13 17:00	120
ID780	2017.03.13 18:20	40
ID781	2017.03.13 17:35	120
ID782	2017.03.13 17:35	120
ID783	2017.03.13 17:45	120
ID784	2017.03.13 17:45	120
ID785	2017.03.13 17:45	120
ID786	2017.03.14 03:10	120
ID787	2017.03.14 03:10	120
ID788	2017.03.14 03:10	120
ID789	2017.03.14 04:10	120
ID790	2017.03.14 04:10	120
ID791	2017.03.14 05:30	40
ID792	2017.03.14 04:20	120
ID793	2017.03.14 04:20	120
ID794	2017.03.14 05:40	40
ID795	2017.03.14 04:25	120
ID796	2017.03.14 04:25	120
ID797	2017.03.14 05:10	120
ID798	2017.03.14 05:10	120
ID799	2017.03.14 05:10	120
ID800	2017.03.14 05:15	120
ID801	2017.03.14 05:15	120
ID802	2017.03.14 05:15	120
ID803	2017.03.14 05:15	120
ID804	2017.03.14 05:15	120
ID805	2017.03.14 05:15	120
ID806	2017.03.14 05:40	120
ID807	2017.03.14 05:40	120
ID808	2017.03.14 07:00	40
ID809	2017.03.14 06:25	120
ID810	2017.03.14 06:25	120
ID811	2017.03.14 06:25	120
ID812	2017.03.14 08:35	120
ID813	2017.03.14 08:35	120
ID814	2017.03.14 08:35	120
ID815	2017.03.14 09:05	120
ID816	2017.03.14 09:05	120
ID817	2017.03.14 09:05	120
ID818	2017.03.14 09:25	120
ID819	2017.03.14 09:25	120
ID820	2017.03.14 09:25	120
ID821	2017.03.14 09:50	120
ID822	2017.03.14 09:50	120
